1.00_cycle,1.00_fM1,1.04_cycle,1.04_fM1,1.08_cycle,1.08_fM1,1.16_cycle,1.16_fM1,1.29_cycle,1.29_fM1,1.55_cycle,1.55_fM1,2.85_cycle,2.85_fM1,6.03_cycle,6.03_fM1
0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337
1,0.393360846656576,1,0.398059571739778,1,0.402086556278457,1,0.410263779455670,1,0.421389108020104,1,0.441823329236975,1,0.503319159246214,1,0.567130003621768
2,0.449388775189106,2,0.459153320470380,2,0.467547464534195,2,0.484659801558519,2,0.508069998923836,2,0.551372403749024,2,0.682503296148834,2,0.814816424347825
3,0.501777643221809,3,0.516715872010052,3,0.529539317225573,3,0.555600899054989,3,0.590993270721932,3,0.655197141711478,3,0.829648458383766,3,0.949233798631033
4,0.549438025798817,4,0.569307326185734,4,0.586269226227945,4,0.620410106072472,4,0.665873430864288,4,0.744705711444338,4,0.919516638023110,,
5,0.592132848723353,5,0.616471298591599,5,0.637059607807375,5,0.677868533671865,5,0.730595912988865,5,0.816180131295488,,,,
6,0.630185402297917,6,0.658423398386362,6,0.682022587320698,6,0.727871270684466,6,0.784864892826109,6,0.870182664239535,,,,
7,0.664172894707899,7,0.695702318869600,7,0.721669479895557,7,0.770929426032441,7,0.829458991261747,7,0.909502575824969,,,,
8,0.694711534544519,8,0.728920685507274,8,0.756626428534823,8,0.807787383146388,8,0.865606076407106,,,,,,
9,0.722345805429358,9,0.758635935549308,9,0.787485420492535,9,0.839213348858272,9,0.894617373630234,,,,,,
10,0.747511904814373,10,0.785306781817030,10,0.814752019768265,10,0.865915355479965,10,0.917719664232880,,,,,,
11,0.770541188388828,11,0.809295034616971,11,0.838843559535046,11,0.888521899052193,,,,,,,,
12,0.791679703731676,12,0.830884919939894,12,0.860106177724708,12,0.907587030977692,,,,,,,,
13,0.811110724447665,13,0.850305051028528,13,0.878834375946151,,,,,,,,,,
14,0.828974516304440,14,0.867746855968320,14,0.895286714974474,,,,,,,,,,
15,0.845383568676656,15,0.883377862514434,15,0.909696347216599,,,,,,,,,,
16,0.860433378150190,16,0.897350270624105,,,,,,,,,,,,
17,0.874209561001938,17,0.909805911058748,,,,,,,,,,,,
18,0.886792206666025,,,,,,,,,,,,,,
19,0.898258290887540,,,,,,,,,,,,,,
20,0.908682802688191,,,,,,,,,,,,,,
