0.4618352672074258_cycle,0.4618352672074258_fM1,0.473_cycle,0.473_fM1,0.482_cycle,0.482_fM1,0.502_cycle,0.502_fM1,0.7_cycle,0.7_fM1,0.8_cycle,0.8_fM1,0.85_cycle,0.85_fM1,0.9_cycle,0.9_fM1,0.95_cycle,0.95_fM1
0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337
1,0.392589089083305,1,0.397240650002601,1,0.400952190408615,1,0.409073627957255,1,0.478837749198248,1,0.506428483547199,1,0.518438641791302,1,0.529367901032363,1,0.539307326207406
2,0.432779087643888,2,0.441163675113457,2,0.447898496805558,2,0.462783553639672,2,0.602754211550059,2,0.667557114655372,2,0.698368745629794,2,0.728099729923638,2,0.756735865544141
3,0.459189370475681,3,0.470117635091169,3,0.478909890617660,3,0.498387278332013,3,0.684582277336012,3,0.772571347097057,3,0.814748581549201,3,0.855617072036096,3,0.895095821331447
4,0.476456931049685,4,0.489016491353060,4,0.499121391203481,4,0.521504733679355,4,0.733937649002188,4,0.831088698849698,4,0.875763736451606,4,0.916974284813812,4,0.953615730192180
5,0.487930673804545,5,0.501530180835130,5,0.512469026976478,5,0.536689224506218,5,0.764643568206439,5,0.865353423124546,5,0.909494437494800,,,,
6,0.495723444679144,6,0.509994351127653,6,0.521471258456204,6,0.546876095507651,6,0.784791356962934,6,0.887167965219105,,,,,,
7,0.501136382099714,7,0.515849222055565,7,0.527680899157943,7,0.553869413798248,7,0.798638837423367,7,0.902029651426831,,,,,,
8,0.504977794903399,8,0.519988288265135,8,0.532059719880734,8,0.558780911865317,8,0.808511246103533,,,,,,,,
9,0.507758887449761,9,0.522975136743141,9,0.535213051622968,9,0.562306811072939,9,0.815756608790281,,,,,,,,
10,0.509809426942736,10,0.525172041573904,10,0.537529014465585,10,0.564891348956983,10,0.821201048066329,,,,,,,,
11,0.511346382456097,11,0.526816336312480,11,0.539261135438201,11,0.566823259371375,11,0.825374855965009,,,,,,,,
12,0.512515296827326,12,0.528066436974404,12,0.540578082705475,12,0.568293585874859,12,0.828631404619858,,,,,,,,
13,0.513415670363360,13,0.529030056037142,13,0.541594122891532,13,0.569430970909415,13,0.831213315753381,,,,,,,,
14,0.514116805494743,14,0.529781788649067,14,0.542388084180714,14,0.570323573693144,14,0.833291195844865,,,,,,,,
15,0.514667858399038,15,0.530374245291081,15,0.543015344040719,15,0.571032895634762,15,0.834987337591888,,,,,,,,
16,0.515104314324328,16,0.530845202370172,16,0.543515515245354,16,0.571602622946218,16,0.836390784710007,,,,,,,,
17,0.515452221871866,17,0.531222260102658,17,0.543917440893462,17,0.572064355330402,17,0.837567221250968,,,,,,,,
18,0.515731003446265,18,0.531525919406729,18,0.544242484303846,18,0.572441363512421,18,0.838565641512373,,,,,,,,
19,0.515955349132903,19,0.531771643642864,19,0.544506725581930,19,0.572751084634150,19,0.839422950722736,,,,,,,,
20,0.516136512890619,20,0.531971260675390,20,0.544722449096741,20,0.573006800859030,20,0.840167197609848,,,,,,,,
