0.4618352672074258_cycle,0.4618352672074258_alpha1_2,0.4618352672074258_alpha1_3,0.4618352672074258_alpha2_3,0.473_cycle,0.473_alpha1_2,0.473_alpha1_3,0.473_alpha2_3,0.482_cycle,0.482_alpha1_2,0.482_alpha1_3,0.482_alpha2_3,0.502_cycle,0.502_alpha1_2,0.502_alpha1_3,0.502_alpha2_3,0.7_cycle,0.7_alpha1_2,0.7_alpha1_3,0.7_alpha2_3,0.8_cycle,0.8_alpha1_2,0.8_alpha1_3,0.8_alpha2_3,0.85_cycle,0.85_alpha1_2,0.85_alpha1_3,0.85_alpha2_3,0.9_cycle,0.9_alpha1_2,0.9_alpha1_3,0.9_alpha2_3,0.95_cycle,0.95_alpha1_2,0.95_alpha1_3,0.95_alpha2_3
0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
1,1.25540168748831,2.27818040928218,1.81470236338471,1,1.31466687649094,2.36393006110006,1.79812095624541,1,1.36421517882054,2.43461101634199,1.78462390254805,1,1.48018922337318,2.59660854587584,1.75424094762592,1,3.14537189485690,4.52252781126225,1.43783563993090,1,4.41446131216167,5.65197184548616,1.28033104059950,1,5.17379699682182,6.23541211587483,1.20519071770793,1,6.02191128309109,6.82409877626716,1.13321144325532,1,6.96271321455948,7.41352392436536,1.06474641363416
2,1.16317139224756,1.82828388326062,1.57180953335508,2,1.19986751072459,1.88050780635408,1.56726287656414,2,1.23032592763953,1.92370926852974,1.56357695575880,2,1.30102348492196,2.02346122634992,1.55528416650472,2,2.35022190314142,3.40119237196057,1.44717925035690,2,3.32551859806928,4.49768008782009,1.35247479609085,2,4.02948379084447,5.18959015865341,1.28790446320813,2,4.95913674621554,5.99538170252503,1.20895672157060,2,6.22158672506668,6.92825478424323,1.11358325301959
3,1.09948059014376,1.54136548286949,1.40190331388019,3,1.12108285933633,1.57224077901328,1.40243048577518,3,1.13883982515667,1.59766212493311,1.40288571723712,3,1.17952128878865,1.65602371355187,1.40397950362776,3,1.75176872770166,2.47222421515599,1.41127317554046,3,2.31460657817932,3.22609507780332,1.39379845724839,3,2.77706564427132,3.79743200544607,1.36742608633671,3,3.50247333639048,4.60866509907178,1.31583160139666,3,4.81952204401194,5.85229864702568,1.21429025400909
4,1.05999949266553,1.36745412952153,1.29005168302756,4,1.07269643052434,1.38681783765246,1.29283345985832,4,1.08306420754943,1.40271246836083,1.29513325118060,4,1.10661456355650,1.43906769592086,1.30042360123646,4,1.42896840312507,1.94701352953503,1.36253084762199,4,1.75631877538882,2.44274949675089,1.39083492756610,4,2.04205438098059,2.84995578920970,1.39563168138606,4,2.53068148754050,3.49493729652702,1.38102614403824,4,3.59123045661996,4.70646710268877,1.31054443860962
5,1.03615859567708,1.25930851128443,1.21536270271593,5,1.04369747428281,1.27246384208615,1.21918838881980,5,1.04983802778536,1.28327890933409,1.22235895001934,5,1.06375730663989,1.30808742163249,1.22968595700119,5,1.26202856913369,1.67055885525036,1.32370922188957,5,1.48528987737744,2.05208392141180,1.38160500025432,5,1.69462383753155,2.38340498134203,1.40645075830739,,,,,,,,
6,1.02178170319974,1.18898405566649,1.16363803730597,6,1.02629398029956,1.19858108327373,1.16787305224560,6,1.02997223719372,1.20651084272003,1.17140132437677,6,1.03833607870259,1.22484274409092,1.17962071164990,6,1.16900874330677,1.51322065634900,1.29444768057812,6,1.34002084756571,1.84453480646232,1.37649709690198,,,,,,,,,,,,
7,1.01307858881839,1.14124071586345,1.12650758634091,7,1.01578566422508,1.14864112631321,1.13079084177614,7,1.01799920774148,1.15479828419968,1.13438033685871,7,1.02306663996941,1.16917750603986,1.14281656772115,7,1.11302079416565,1.41499804944023,1.27131321971478,7,1.25263039065093,1.72199283000852,1.37470146250699,,,,,,,,,,,,
8,1.00779444822695,1.10762777743348,1.09906120179782,8,1.00941176662473,1.11357128990842,1.10318833872125,8,1.01074040473896,1.11855399493436,1.10666793341782,8,1.01381055492226,1.13031780825206,1.11492014239162,8,1.07732911309443,1.34891040503651,1.25208758274620,,,,,,,,,,,,,,,,
9,1.00458472371097,1.08325468974166,1.07831093204372,9,1.00553980697749,1.08816765691572,1.08217262943233,9,1.00632898476018,1.09231809478234,1.08544830897686,9,1.00817343964052,1.10222386086173,1.09328793789167,9,1.05364522809155,1.30182552983385,1.23554446518191,,,,,,,,,,,,,,,,
10,1.00264009678864,1.06515795234849,1.06235323697914,10,1.00319211858651,1.06930053813724,1.06589806511227,10,1.00365136204923,1.07282647880331,1.06892345227613,10,1.00473920605213,1.08133106019760,1.07623058171126,10,1.03748982512653,1.26677124310142,1.22099630514152,,,,,,,,,,,,,,,,
11,1.00146907392290,1.05146373243026,1.04992132039737,11,1.00177657362317,1.05500363693900,1.05313266921716,11,1.00203442806751,1.05803859387189,1.05589046068246,11,1.00265520613737,1.06543436098031,1.06261290467417,11,1.02626052384156,1.23975714297239,1.20803354915344,,,,,,,,,,,,,,,,
12,1.00077120022324,1.04094180611392,1.04013965018350,12,1.00093159815513,1.04399304751473,1.04302137073000,12,1.00106741682438,1.04662763938866,1.04551164267118,12,1.00140143040403,1.05311250885886,1.05163871039605,12,1.01835644430549,1.21835387037581,1.19639236064020,,,,,,,,,,,,,,,,
13,1.00036204155911,1.03275759337301,1.03238382752250,13,1.00043524710772,1.03540179533805,1.03495133576252,13,1.00049811350691,1.03770085450154,1.03718421903289,13,1.00065807190126,1.04341619381101,1.04273000249577,13,1.01274813560884,1.20100590078900,1.18588803924777,,,,,,,,,,,,,,,,
14,1.00012816571245,1.02632857424336,1.02619705096720,14,1.00015092216879,1.02862706804325,1.02847184884128,14,1.00017114597374,1.03063932981830,1.03046297022986,14,1.00022749567872,1.03569133357508,1.03545577186147,14,1.00875070440192,1.18667509247219,1.17638093068372,,,,,,,,,,,,,,,,
15,1.00000018316747,1.02123800243580,1.02123818949338,15,1.00000548172559,1.02323890685223,1.02324451596713,15,1.00000928268289,1.02500266580615,1.02501218058086,15,1.00001267702675,1.02947481686768,1.02948786754747,15,1.00589657087010,1.17464437154734,1.16775860020208,,,,,,,,,,,,,,,,
16,1.00006581565960,1.01718129457710,1.01724824103494,16,1.00008566803786,1.01892375850618,1.01901104770530,16,1.00010216827145,1.02047025349698,1.02057451317885,16,1.00013821030803,1.02443078240597,1.02457236929996,16,1.00386026155082,1.16440393549399,1.15992631653250,,,,,,,,,,,,,,,,
17,1.00009488413540,1.01393170829698,1.01402791433047,17,1.00012128124921,1.01544850919037,1.01557166405407,17,1.00014369009026,1.01680399352788,1.01695009818549,17,1.00019583890557,1.02031044290656,1.02051025938704,17,1.00241193417434,1.15558233893409,1.15280185673958,,,,,,,,,,,,,,,,
18,1.00010325850186,1.01131776496029,1.01142219211761,18,1.00013157034906,1.01263693621938,1.01277016921454,18,1.00015590938002,1.01382397062992,1.01398203529662,18,1.00021425760114,1.01692604357790,1.01714392771254,18,1.00138756263456,1.14790316186971,1.14631258136429,,,,,,,,,,,,,,,,
19,1.00010047403182,1.00920802577882,1.00930942497811,19,1.00012813435836,1.01035390264727,1.01048336369630,19,1.00015215840560,1.01139218192024,1.01154607374207,19,1.00021094976292,1.01413355554481,1.01434748677792,19,1.00066920795016,1.14115686647507,1.14039370594075,,,,,,,,,,,,,,,,
20,1.00009217319480,1.00750059018959,1.00759345473775,20,1.00011786070661,1.00849450390059,1.00861336577543,20,1.00014038116437,1.00940140081734,1.00954310176130,20,1.00019643355172,1.01182090824421,1.01201966381893,20,1.00017162995820,1.13518199867443,1.13498720086859,,,,,,,,,,,,,,,,
