0_cycle,0_fM1,0.015_cycle,0.015_fM1,0.04_cycle,0.04_fM1,0.1_cycle,0.1_fM1,0.15000000000000002_cycle,0.15000000000000002_fM1,0.2_cycle,0.2_fM1,0.30000000000000004_cycle,0.30000000000000004_fM1,0.4_cycle,0.4_fM1,0.5_cycle,0.5_fM1
0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337
1,0.342198084799385,1,0.357108851215208,1,0.381393884583709,1,0.436051011468708,1,0.477083596088771,1,0.513836156093755,1,0.575329016878522,1,0.623328749879990,1,0.661040635326149
2,0.367836848714943,2,0.398365937526133,2,0.446554490063891,2,0.546474609674319,2,0.613357324676146,2,0.667812535577857,2,0.749393235290092,2,0.806923661725139,2,0.849590044763722
3,0.389833308226334,3,0.433066960882999,3,0.498335626888077,3,0.621533897842618,3,0.695159789307173,3,0.750280471523556,3,0.825920335420322,3,0.875939681923385,3,0.913125561773450
4,0.408310625761061,4,0.461368962973618,4,0.538379317290957,4,0.673845368947844,4,0.748104126855851,4,0.800097062825840,4,0.866762077535490,4,0.908844514546936,,
5,0.423679172502752,5,0.484247141986337,5,0.569746962223542,5,0.713055616435060,5,0.785948370812103,5,0.833977458437003,5,0.892293110387503,,,,
6,0.436429342439050,6,0.502811246782380,6,0.595038883874360,6,0.744348653724630,6,0.814836544660426,6,0.858742289378075,6,0.909836407315032,,,,
7,0.447025900388166,7,0.518025719411482,7,0.616103067970495,7,0.770419097266882,7,0.837767465652146,7,0.877661716427974,,,,,,
8,0.455868713524537,8,0.530649602524897,8,0.634194449955369,8,0.792722366723071,8,0.856410065945976,8,0.892552328274628,,,,,,
9,0.463286585379224,9,0.541257872640463,9,0.650166503628163,9,0.812094360913540,9,0.871810121510301,9,0.904533948204083,,,,,,
10,0.469544342893413,10,0.550281284972046,10,0.664610749540139,10,0.829056186001320,10,0.884684012112073,,,,,,,,
11,0.474853607550365,11,0.558043170205238,11,0.677947118139936,11,0.843967181534539,11,0.895552329558019,,,,,,,,
12,0.479383319195229,12,0.564788210031792,12,0.690480651026322,12,0.857101745246451,12,0.904807427044294,,,,,,,,
13,0.483268715221484,13,0.570703607654710,13,0.702436896789707,13,0.868686695633236,,,,,,,,,,
14,0.486618561649964,14,0.575934317719915,14,0.713984013111939,14,0.878918405203095,,,,,,,,,,
15,0.489520824484013,15,0.580593947652852,15,0.725246510534481,15,0.887970148230402,,,,,,,,,,
16,0.492047068330328,16,0.584772588210568,16,0.736313698388149,16,0.895995213995214,,,,,,,,,,
17,0.494255857636169,17,0.588542482525679,17,0.747244819894313,17,0.903128529435283,,,,,,,,,,
18,0.496195390787287,18,0.591962171339355,18,0.758072271596480,,,,,,,,,,,,
19,0.497905548550977,19,0.595079557117663,19,0.768803974174636,,,,,,,,,,,,
20,0.499419495961382,20,0.597934194303123,20,0.779425746037692,,,,,,,,,,,,
21,0.500764942888644,21,0.600559020022804,21,0.789904320732167,,,,,,,,,,,,
22,0.501965142545448,22,0.602981675925910,22,0.800191380454530,,,,,,,,,,,,
23,0.503039687619020,23,0.605225528065288,23,0.810228637680870,,,,,,,,,,,,
24,0.504005149114925,24,0.607310461446355,24,0.819953645646856,,,,,,,,,,,,
25,0.504875592130738,25,0.609253504719557,25,0.829305724943850,,,,,,,,,,,,
26,0.505662994679983,26,0.611069325589844,26,0.838231277960716,,,,,,,,,,,,
