0.8_m1_fb1_inc,0.8_subCycleNumber,0.9_m1_fb1_inc,0.9_subCycleNumber,0.95_m1_fb1_inc,0.95_subCycleNumber,0.99_m1_fb1_inc,0.99_subCycleNumber
0.04,22,0.04,36,0.04,60,0.15000000000000002,86
0.1,9,0.1,17,0.1,30,0.2,70
0.15000000000000002,6,0.15000000000000002,12,0.15000000000000002,22,0.25,59
0.2,4,0.2,9,0.2,17,0.3,50
0.25,4,0.25,7,0.25,14,0.35,42
0.3,3,0.3,6,0.3,11,0.39999999999999997,34
0.35,3,0.35,5,0.35,9,0.44999999999999996,27
0.39999999999999997,2,0.39999999999999997,4,0.39999999999999997,8,0.49999999999999994,20
0.44999999999999996,2,0.44999999999999996,4,0.44999999999999996,6,,
0.49999999999999994,2,0.49999999999999994,3,0.49999999999999994,5,,
