0.4618352672074258_cycle,0.4618352672074258_alpha1_2,0.4618352672074258_alpha1_3,0.4618352672074258_alpha2_3,0.473_cycle,0.473_alpha1_2,0.473_alpha1_3,0.473_alpha2_3,0.482_cycle,0.482_alpha1_2,0.482_alpha1_3,0.482_alpha2_3,0.502_cycle,0.502_alpha1_2,0.502_alpha1_3,0.502_alpha2_3,0.53_cycle,0.53_alpha1_2,0.53_alpha1_3,0.53_alpha2_3,0.584_cycle,0.584_alpha1_2,0.584_alpha1_3,0.584_alpha2_3,0.778_cycle,0.778_alpha1_2,0.778_alpha1_3,0.778_alpha2_3,0.909_cycle,0.909_alpha1_2,0.909_alpha1_3,0.909_alpha2_3
0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
1,1.25612601648022,2.28106824882623,1.81595494313381,1,1.31557777479268,2.36707501313942,1.79926649605528,1,1.36528608829123,2.43796890564830,1.78568354761428,1,1.48164659200702,2.60045510326889,1.75511158821372,1,1.65886321765518,2.83916409745618,1.71151187586724,1,2.05154107630197,3.33461594610359,1.62542002430409,1,4.11636840507383,5.40673163192187,1.31347126881489,1,6.19211416345111,6.93553377336563,1.12005909295125
2,1.14957517732016,1.77028420497834,1.53994644274170,2,1.18366503476397,1.82046514829623,1.53799013642339,2,1.21209126913801,1.86216035196253,1.53632024202833,2,1.27853042590873,1.95905970832438,1.53227460889869,2,1.38000382047934,2.10547363964755,1.52570131212841,2,1.60957387854494,2.42909290558960,1.50915278755984,2,3.07361501960571,4.23155424799392,1.37673528434825,2,5.24507642666093,6.22367273358998,1.18657427029181
3,1.08639149939303,1.48678360421894,1.36855231751133,3,1.10614021575151,1.51807179335522,1.37240448519797,3,1.12264593487173,1.54415572989069,1.37546102642515,3,1.16138797401197,1.60511911555002,1.38206968856858,3,1.22108984747672,1.69828705246432,1.39079614491406,3,1.35899854242077,1.90967588633068,1.40520819318099,3,2.35914971173831,3.29620922689395,1.39720222523105,3,4.34435992248302,5.43699933252007,1.25150757062793
4,1.05058223304801,1.32722300840963,1.26332139137649,4,1.06244261660795,1.34889676096427,1.26961846209716,4,1.07244404141091,1.36705224025720,1.27470729238115,4,1.09623172038483,1.40978053419611,1.28602421183471,4,1.13370576001460,1.47582803433037,1.30177342868168,4,1.22354471133179,1.62864110910223,1.33108426199604,4,1.95204552500086,2.71833956743068,1.39255951391271,4,3.68267096352307,4.77943528441196,1.29781762523787
5,1.03000154689605,1.23114238096837,1.19528206989442,5,1.03733170748959,1.24745163360240,1.20255808686434,5,1.04359881671393,1.26119967185049,1.20851006311193,5,1.05880655947399,1.29383875039932,1.22197840466921,5,1.08355230680292,1.34497298320601,1.24126262734323,5,1.14602506693375,1.46571346949664,1.27895410998141,5,1.71783217102189,2.37542475712165,1.38280374369085,5,3.23990866774340,4.29882377766333,1.32683486434741
6,1.01792100999508,1.16934395711925,1.14875707018259,6,1.02252927362265,1.18231868467251,1.15626878874945,6,1.02653664602833,1.19333178028180,1.16248337056334,6,1.03650216030016,1.21972665205431,1.17677193427275,6,1.05336368469965,1.26167409849957,1.19775735277918,6,1.09863080815894,1.36281964530759,1.24047098915001,6,1.57238521361530,2.16066435447456,1.37413169226303,6,2.94371695864796,3.95997583924472,1.34522982164139
7,1.01071346694909,1.12743084474703,1.11548018465634,7,1.01363197530747,1.13813305806331,1.12282671205007,7,1.01621890079102,1.14728196471516,1.12897129134493,7,1.02283164254819,1.16942220094183,1.14331836471976,7,1.03451806910550,1.20512227424881,1.16491176929448,7,1.06810735633982,1.29303522354794,1.21058544899354,7,1.47480465130819,2.01657149449416,1.36734820622203,,,,
8,1.00636914358893,1.09781598160566,1.09086808612853,8,1.00821667261973,1.10685382522786,1.09783328850516,8,1.00988878940296,1.11463567648172,1.10372120987766,8,1.01429315348037,1.13365271546947,1.11767757830124,8,1.02245175602896,1.16476758257830,1.13919074979349,8,1.04769424837380,1.24302075221629,1.18643464364310,8,1.40510893188677,1.91393715836188,1.36212724503277,,,,
9,1.00373794418016,1.07621951957121,1.07221165226572,9,1.00489871874075,1.08396995956875,1.07868578131644,9,1.00597337983196,1.09069237437720,1.08421594074327,9,1.00889761941614,1.10728474967801,1.09751943940438,9,1.01459543248443,1.13483714153979,1.11851197551809,9,1.03367216199352,1.20561719265474,1.16634387282871,9,1.35286003761015,1.83726099872925,1.35805696646551,,,,
10,1.00214421242563,1.06007910474591,1.05781093339854,10,1.00286242329735,1.06679230123293,1.06374740587585,10,1.00354430585482,1.07265910813610,1.06887070344385,10,1.00546754873460,1.08728879239263,1.08137631469162,10,1.00942670269693,1.11195336329596,1.10156919796662,10,1.02385638810099,1.17669703927455,1.14927938424748,10,1.31219406121780,1.77778503989068,1.35481869064458,,,,
11,1.00118330816968,1.04778176780681,1.04654338447004,11,1.00161639703874,1.05363383675031,1.05193349456474,11,1.00203977258171,1.05878822387808,1.05663293299243,11,1.00328396929906,1.07177885855802,1.06827069040764,11,1.00600729884919,1.09402662149350,1.08749372171056,11,1.01689383566383,1.15373327457554,1.13456610131025,11,1.27959707015582,1.73025511370037,1.35218746123705,,,,
12,1.00060964830291,1.03826860476043,1.03763601172684,12,1.00085994259382,1.04339007775981,1.04249359311531,12,1.00111375850122,1.04793784069398,1.04677198949184,12,1.00189795964606,1.05952752343077,1.05752039240111,12,1.00374175902083,1.07970301833402,1.07567809013675,12,1.01191067029392,1.13510003464944,1.12173936689465,12,1.25284542345043,1.69134993557759,1.35000687548468,,,,
13,1.00027287888607,1.03081943053721,1.03053821841612,13,1.00040710917538,1.03531144177619,1.03489012850936,13,1.00055055948604,1.03933423424948,1.03876233379287,13,1.00102477291438,1.04970565646147,1.04863104776654,13,1.00224399269650,1.06807096781986,1.06567959060174,13,1.00832380450243,1.11970737231861,1.11046408635681,13,1.23046646263448,1.65887464679843,1.34816729847859,,,,
14,1.00008047590818,1.02492953369260,1.02484705819485,14,1.00014214794691,1.02887342492350,1.02872719346503,14,1.00021465705397,1.03243666106129,1.03221508881125,14,1.00048184323306,1.04173518769419,1.04123347638956,14,1.00125976743435,1.05849648445606,1.05716470279075,14,1.00573414296278,1.10679911613672,1.10048875627928,14,1.21144698314182,1.63132316893014,1.34659064047474,,,,
15,1.00002462151733,1.02023606970335,1.02026118946342,15,1.00000723900070,1.02369928659686,1.02370669715672,15,1.00002052696410,1.02685702594419,1.02683594811955,15,1.00015129636429,1.03520197868173,1.03504538007884,15,1.00061983817031,1.05052626353379,1.04987551061824,15,1.00386309786903,1.09583526147994,1.09161823340866,15,1.19506709179976,1.60762846602155,1.34522026173483,,,,
16,1.00007759032726,1.01647244363851,1.01655131206807,16,1.00008625149151,1.01951225941878,1.01960019387177,16,1.00008590734121,1.02231031524673,1.02239813920781,16,1.00004328482121,1.02980223686479,1.02984681167049,16,1.00021069071760,1.04382831017555,1.04360843156621,16,1.00251323135629,1.08642053709657,1.08369695592622,16,1.18080108346352,1.58701357694347,1.34401432990598,,,,
17,1.00010003787833,1.01343910698522,1.01354048928330,17,1.00012308275434,1.01610503490125,1.01623009990764,17,1.00013880310442,1.01858300072537,1.01872438320798,17,1.00015153644629,1.02530844925841,1.02546382085717,17,1.00004417832714,1.03815429444635,1.03820015836639,17,1.00154298238596,1.07825937827021,1.07659820620129,17,1.16825590861163,1.56889924084208,1.34294141315885,,,,
18,1.00010516381862,1.01098431627003,1.01109063524129,18,1.00013524800418,1.01331971344776,1.01345676291660,18,1.00015966490083,1.01551231419539,1.01567445586832,18,1.00020563835112,1.02154709237690,1.02175716163658,18,1.00019649461576,1.03331496226901,1.03351800309548,18,1.00084995300769,1.07112661863811,1.07021698449327,18,1.15713163541090,1.55284463569393,1.34197751420262,,,,
19,1.00010095375960,1.00899112324755,1.00909298469484,19,1.00013355169917,1.01103428806507,1.01116931341217,19,1.00016196418476,1.01297230196468,1.01313636719775,19,1.00022642198111,1.01838367292239,1.01861425737114,19,1.00028118323388,1.02916365379624,1.02945303736060,19,1.00035958200359,1.06484787305960,1.06446511056239,19,1.14719526658811,1.53850820754849,1.34110404074817,,,,
20,1.00009216687896,1.00736837007903,1.00746121607766,20,1.00012458071726,1.00915331877177,1.00927903981605,20,1.00015406027009,1.01086422294142,1.01101995695663,20,1.00022730734431,1.01571245842360,1.01594333732510,20,1.00032183937697,1.02558500229955,1.02591507593772,20,1.00001731390696,1.05928608274386,1.05926774268071,20,1.13826293417503,1.52562108764342,1.34030639304717,,,,
